Name,Size,F,Lambda,ThreadOpt
blackscholes,simlarge,0.14883063733577728,0.0007463129586540163,32
blackscholes,simmedium,0.16760192811489105,0.0009691305458545685,28
blackscholes,simsmall,0.20671848952770233,0.0006665365654043853,32
bodytrack,simlarge,0.12902113795280457,0.0007427857490256429,32
bodytrack,simmedium,0.1151619702577591,0.006089901551604271,12
bodytrack,simsmall,0.28903454542160034,0.002677825978025794,16
canneal,simlarge,0.657276451587677,0.0003374124353285879,28
canneal,simmedium,0.5967543125152588,0.000888223119545728,20
canneal,simsmall,0.664794921875,0.0003226370899938047,28
facesim,simlarge,0.39435169100761414,0.009101985953748226,8
facesim,simmedium,0.3923805356025696,0.009108120575547218,8
facesim,simsmall,0.4056338965892792,0.008766180835664272,8
fluidanimate,simlarge,0.2806017994880676,0.002769527258351445,16
fluidanimate,simmedium,0.2759512662887573,0.010409228503704071,8
fluidanimate,simsmall,0.37106937170028687,0.01371393445879221,4
freqmine,simlarge,0.09388849139213562,0.003473301650956273,16
freqmine,simmedium,0.13278917968273163,0.005841061472892761,12
freqmine,simsmall,0.1811825931072235,0.010462568141520023,8
streamcluster,simlarge,0.0005701257614418864,0.0848274677991867,8
streamcluster,simmedium,0.0009046467021107674,0.33097007870674133,4
streamcluster,simsmall,0.0012369462056085467,1.5042747259140015,2
swaptions,simlarge,0.01731596700847149,0.0011501561384648085,28
swaptions,simmedium,5.8542453189147636e-05,0.0038323276676237583,16
vips,simlarge,0.01781461574137211,0.0036855980288237333,16
vips,simmedium,0.05161083862185478,0.003587938379496336,16
vips,simsmall,0.09743597358465195,0.0061057861894369125,12
